Receipt No,Completion Time,Details,Transaction Status,Paid in,Withdrawn,Balance
R001,2026-01-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT A 254755500001,Completed,8000.00,0.00,8000.00
R002,2026-01-18 12:00:00,Customer Transfer of Funds from MARKET CLIENT B 254755500002,Completed,5000.00,0.00,13000.00
R003,2026-02-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT C 254755500003,Completed,130000.00,0.00,130000.00
R004,2026-02-20 15:00:00,Pay Bill to KPLC PREPAID,Completed,0.00,12000.00,118000.00
R005,2026-03-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT D 254755500004,Completed,7000.00,0.00,7000.00
R006,2026-03-22 11:00:00,Customer Transfer of Funds from MARKET CLIENT E 254755500005,Completed,6000.00,0.00,13000.00
R007,2026-04-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT F 254755500006,Completed,125000.00,0.00,125000.00
R008,2026-04-25 16:00:00,Pay Bill to RENT PAYBILL,Completed,0.00,15000.00,110000.00
R009,2026-05-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT G 254755500007,Completed,5000.00,0.00,5000.00
R010,2026-05-28 13:00:00,Pay Bill to WATER BILL,Completed,0.00,7000.00,-2000.00
R011,2026-06-05 09:00:00,Customer Transfer of Funds from MARKET CLIENT H 254755500008,Completed,115000.00,0.00,115000.00
R012,2026-06-22 18:00:00,Pay Bill to SCHOOL FEES,Completed,0.00,10000.00,105000.00
