Receipt No,Completion Time,Details,Transaction Status,Paid in,Withdrawn,Balance
R001,2026-01-05 10:00:00,Customer Transfer of Funds from FRIEND A 254711111111,Completed,42000.00,0.00,42000.00
R002,2026-01-05 11:00:00,Customer Transfer to FRIEND B 254722222222,Completed,0.00,42000.00,0.00
R003,2026-02-05 10:00:00,Customer Transfer of Funds from FRIEND A 254711111111,Completed,42000.00,0.00,42000.00
R004,2026-02-05 11:00:00,Customer Transfer to FRIEND B 254722222222,Completed,0.00,42000.00,0.00
R005,2026-03-05 10:00:00,Customer Transfer of Funds from FRIEND A 254711111111,Completed,42000.00,0.00,42000.00
R006,2026-03-05 11:00:00,Customer Transfer to FRIEND B 254722222222,Completed,0.00,42000.00,0.00
R007,2026-04-01 09:00:00,Customer Transfer of Funds from SIDE HUSTLE 254733333333,Completed,38000.00,0.00,38000.00
R008,2026-04-10 12:00:00,Pay Bill to FULIZA,Completed,0.00,8000.00,30000.00
R009,2026-05-01 09:00:00,Customer Transfer of Funds from SIDE HUSTLE 254733333333,Completed,36000.00,0.00,36000.00
R010,2026-05-12 12:00:00,Pay Bill to FULIZA,Completed,0.00,9000.00,27000.00
R011,2026-06-01 09:00:00,Customer Transfer of Funds from SIDE HUSTLE 254733333333,Completed,35000.00,0.00,35000.00
R012,2026-06-15 12:00:00,Pay Bill to FULIZA,Completed,0.00,11000.00,24000.00
